#Table1
objID,ra,dec,modelMag_r,u_g,g_z,g_r,g_i,r_i,r_z,petroRad_r,flags,flag_text,specObjID,z,zErr,zWarning,class,subClass
1237661059574006613,49.1251846652232,41.8848529640606,17.48358,2.349323,2.243109,1.251408,1.780048,0.5286407,0.9917011,3.753959,193583034531856,PSF_FLUX_INTERP DEBLENDED_AT_EDGE INTERP_CENTER STATIONARY BINNED1 INTERP CHILD ,1874728673060349952,0.133989,2.490778E-05,0,GALAXY,
1237661056355140014,49.4481643252086,42.5294129939519,16.66713,2.594587,3.56205,1.519388,2.639477,1.120089,2.042662,1.043204,35253360132144,DEBLENDED_AT_EDGE STATIONARY BINNED1 INTERP PEAKCENTER CHILD ,1874734995252209664,-6.762087E-06,1.538018E-05,0,STAR,M3
1237661056892011174,49.8138142380191,42.9386441468547,16.51002,2.11805,2.165077,1.241135,1.718071,0.4769363,0.9239426,5.361397,35253361180944,DEBLENDED_AT_EDGE STATIONARY BINNED1 SUBTRACTED INTERP NOPETRO CHILD ,1874738018909186048,0.1311488,1.960587E-05,0,GALAXY,
1237661056892208605,50.3291457279878,42.6785242316391,16.66591,2.644089,2.975693,1.555515,2.439891,0.8843756,1.420177,1.083782,268435456,BINNED1 ,1874769354990577664,7.364035E-05,8.7188E-06,0,STAR,M1
1237661060648076005,50.6812804056591,42.2478958775343,17.62628,2.621763,2.23752,1.366211,1.910975,0.5447636,0.8713093,1.012352,35253361704980,DEBLENDED_AT_EDGE STATIONARY BINNED1 SUBTRACTED NOTCHECKED INTERP CHILD EDGE ,1874778700839413760,-6.804891E-05,8.144127E-06,0,STAR,K7
1237661060648076424,50.4891051545191,42.2059237262457,16.55109,2.393408,2.287331,1.256966,1.818655,0.5616894,1.030365,7.826227,35255507620112,DEBLENDED_AT_EDGE STATIONARY MOVED BINNED1 INTERP COSMIC_RAY NOPETRO CHILD ,1874780899862669312,0.1340203,1.895182E-05,0,GALAXY,
1237661060111402196,50.7499979455199,41.6323363181993,16.95242,2.185713,2.223492,1.244482,1.750311,0.5058289,0.9790096,6.720034,35253360136208,DEBLENDED_AT_EDGE STATIONARY BINNED1 INTERP COSMIC_RAY CHILD ,1874786672298715136,0.1329795,2.024555E-05,0,GALAXY,
1237661060648403831,51.2830787082916,41.8154668896013,17.41555,2.263208,2.572447,1.404943,2.031084,0.6261406,1.167503,3.461638,35255507615760,DEBLENDED_AT_EDGE STATIONARY MOVED BINNED1 INTERP CHILD ,1874798492048713728,0.1348505,2.672645E-05,0,GALAXY,
1237661059574530886,50.4668689770366,41.3705401026461,18.0958,2.605005,2.025856,1.278723,1.768171,0.4894485,0.7471333,1.502858,193617394270296,PSF_FLUX_INTERP DEBLENDED_AT_EDGE INTERP_CENTER STATIONARY BAD_MOVING_FIT BINNED1 INTERP NODEBLEND CHILD BLENDED ,1875781180817696768,6.190497E-05,9.595528E-06,0,STAR,K7
1237661059574399247,49.9883305149312,41.4458746990913,18.0516,2.7271,2.8172,1.565123,2.373089,0.8079662,1.252077,1.147057,35253360136208,DEBLENDED_AT_EDGE STATIONARY BINNED1 INTERP COSMIC_RAY CHILD ,1875796848858392576,5.226525E-05,9.353527E-06,0,STAR,M0
