objID,ra,dec,u_g,g_z,modelMag_r,petroRad_r
1.23766E+18,50.07754357,41.97083928,1.383079,0.949193,14.54685,0.9277424
1.23766E+18,50.43805508,41.72237449,1.551638,1.155325,16.10613,0.9030405
1.23766E+18,50.50210331,41.7482382,1.486403,1.175854,16.37251,0.8712202
1.23766E+18,50.61047254,41.74374566,1.257978,0.8294277,16.59003,0.9223899
1.23766E+18,50.5644075,41.62876172,1.375677,0.9729462,16.81703,0.9648504
1.23766E+18,50.68315856,41.72256849,1.319204,0.91078,16.16503,0.942781
1.23766E+18,50.86433907,41.71032179,0.1085749,-0.276226,15.77842,17.28497
1.23766E+18,50.92264704,41.67419967,1.251259,0.8231621,16.35382,0.88311
1.23766E+18,50.92180716,41.67434076,1.214733,0.9312286,16.58948,0.8991992
1.23766E+18,50.90561437,41.51449968,1.29586,0.8748436,17.15526,0.912537
1.23766E+18,49.14255352,41.39087242,1.06555,0.7567883,17.12572,1.278186
1.23766E+18,49.39054164,41.40531318,1.273979,0.8621006,16.51897,1.048269
1.23766E+18,49.58926315,41.18580038,1.561563,1.137899,17.11626,1.033459
1.23766E+18,49.75644281,41.06635125,1.160596,1.047339,16.68051,2.435722
1.23766E+18,50.17791376,41.0279893,1.245743,0.8861694,17.27782,1.025453
1.23766E+18,50.3922685,40.85074905,1.463144,1.062542,15.92223,1.013847
1.23766E+18,50.40203252,40.8541754,1.240517,0.8028126,16.39107,1.020077
1.23766E+18,49.09190797,41.20164636,1.225691,0.8388767,17.05545,1.662929
1.23766E+18,49.60858364,41.32758473,1.218107,0.7860184,16.99679,1.702525
1.23767E+18,49.55355715,40.85793848,1.14287,0.7082453,15.24367,1.970481
1.23767E+18,49.82799816,40.86119373,1.378027,0.9297743,15.61817,1.27516
1.23767E+18,49.61119388,40.97567914,1.35288,0.912426,16.72752,1.230945
1.23767E+18,49.15324192,41.2336367,1.040647,0.7735367,13.41876,2.449925
1.23766E+18,49.28731105,41.64404534,1.345192,1.014892,16.24093,1.017709
1.23766E+18,49.48498742,41.44892764,1.208395,0.917469,17.12162,1.043423
1.23766E+18,49.47264061,41.40999597,1.476341,1.063028,16.78272,1.056082
1.23766E+18,50.09182067,41.32949923,1.28824,0.8627682,16.76957,1.051073
1.23766E+18,50.11249778,41.10492284,1.46155,1.08716,17.12458,1.135471
1.23766E+18,50.20652684,41.04723306,1.173285,0.7316027,15.38223,1.863909
1.23766E+18,50.61616402,41.06517857,1.178522,0.737442,16.88548,0.9935815
1.23766E+18,49.44917046,42.09010349,1.237215,0.8123875,17.17401,1.084594
1.23766E+18,49.46938258,41.9702153,1.076218,0.654582,15.72673,0.9960947
1.23766E+18,49.42788811,41.94440793,1.296967,0.8860149,15.62045,1.000949
1.23766E+18,49.58053532,41.89651229,1.372387,1.074965,16.5851,0.9966295
1.23766E+18,49.68824384,42.02835877,1.492441,1.084374,16.34427,0.9962472
1.23766E+18,49.74575438,41.89025988,1.285622,0.8771915,15.61904,0.9667597
1.23766E+18,49.83163804,41.97547211,1.549377,1.379413,14.68791,0.9449607
1.23766E+18,49.69228614,41.81904307,1.171478,0.9949055,13.8508,2.084812
1.23766E+18,49.91619052,41.93808632,1.536236,1.09333,16.79292,0.9318262
1.23766E+18,49.85618974,41.86400808,1.226149,0.7775249,16.84509,0.9677644
1.23766E+18,49.81582473,41.81625099,1.506598,1.057827,16.60126,0.9767526
1.23766E+18,50.26495742,41.73116314,1.26317,0.8356972,17.0577,1.000349
1.23766E+18,50.28549328,41.71447853,1.331662,0.9214287,15.58563,1.88262
1.23766E+18,50.36310165,41.70815955,1.327127,0.8916492,15.71868,1.016116
1.23766E+18,50.39489353,41.63022058,1.447184,1.022312,17.07352,1.03505
1.23766E+18,50.61648469,41.45679804,1.118284,0.8368988,16.4177,1.018117
1.23766E+18,50.60932796,41.38687949,1.263493,0.8258648,15.42431,1.01599
1.23766E+18,50.67736526,41.45698803,1.222567,0.8313789,17.27753,1.00484
1.23766E+18,50.78143287,41.48301812,1.250523,0.8570175,16.70635,0.9645123
1.23766E+18,50.8037688,41.4285056,1.498341,1.123343,17.14975,1.058664
1.23766E+18,50.77274431,41.34132817,1.1947,0.8168278,16.64983,0.9873623
1.23766E+18,50.87369996,41.36485968,1.176521,0.7980795,15.45199,2.136457
1.23766E+18,50.02482079,42.15696029,1.298895,0.9308662,16.80742,0.9522433
1.23766E+18,50.18327356,42.13943811,1.337872,0.9058647,17.12992,0.9048272
1.23766E+18,50.51763257,41.97028578,1.400618,0.9624577,16.51507,0.9734809
1.23766E+18,50.59174027,41.91236482,1.671751,1.48313,16.379,1.111794
1.23766E+18,50.80860234,41.81377638,1.477903,1.098448,17.10092,1.007679
1.23766E+18,49.16478787,41.92717128,1.52034,1.081533,16.97138,0.9931088
1.23766E+18,49.24424948,41.85334387,1.130846,0.9060841,14.34185,1.876052
1.23766E+18,49.36110377,41.95142386,1.32349,0.8808613,17.09435,0.8642491
1.23766E+18,49.36046398,41.84392221,1.07618,0.7247038,13.92343,2.152367
1.23766E+18,49.49226464,41.83855092,1.441427,1.088199,16.3277,0.8747896
1.23766E+18,49.55124751,41.71951601,1.456926,1.051012,15.87821,0.9770947
1.23766E+18,49.66101747,41.79557842,1.694355,1.309086,14.15478,1.778684
1.23766E+18,50.46982364,41.38092105,1.080225,0.8522959,14.91294,0.9737947
1.23766E+18,50.51916405,41.36702358,1.025736,0.6307106,17.1863,0.9813226
1.23766E+18,50.58284592,41.25530519,1.684292,1.665709,15.59589,10.80535
1.23766E+18,50.61164007,41.09974427,1.338561,0.9013643,15.36906,0.9454821
1.23766E+18,50.64377358,41.07126147,1.230101,0.7877941,16.87317,0.9374958
