#Table1
objID,ra,dec,modelMag_r,u_g,g_z,g_r,g_i,r_i,r_z,petroRad_r,flags,flag_text,specObjID,z,zErr,zWarning,class,subClass
1237660978508988638,51.3738578890984,41.2739034606811,17.3607,2.555712,2.030113,1.251926,1.693022,0.4410954,0.7781868,1.998809,35219000393744,DEBLENDED_AT_EDGE BAD_MOVING_FIT BINNED1 INTERP CHILD ,1874629991891757056,-5.584603E-05,8.727062E-06,0,STAR,K7
1237661082125796443,49.8622559727579,40.0664944813347,17.125,2.551435,3.557374,1.572657,2.838091,1.265434,1.984717,1.040957,35294162190352,DEBLENDED_AT_EDGE STATIONARY BAD_MOVING_FIT DEBLENDED_AS_MOVING MOVED BINNED1 CHILD ,1874657479682451456,3.534396E-05,9.373553E-06,0,STAR,M4
1237661122388033863,49.9367551285574,41.3986865815753,17.1254,2.371679,2.041801,1.170483,1.675606,0.5051231,0.8713188,18.01605,35253360132368,DEBLENDED_AT_EDGE STATIONARY BINNED1 INTERP NOPETRO CHILD ,1874671498455705600,0.1352367,2.437193E-05,0,GALAXY,
1237670458047922489,48.8476326579619,40.806746132156,18.22365,2.733606,2.806583,1.549255,2.33849,0.7892342,1.257328,2.156142,105622137864208,DEBLEND_NOPEAK DEBLENDED_AT_EDGE STATIONARY BINNED1 DEBLENDED_AS_PSF INTERP CHILD ,1874702009903376384,-7.994251E-05,9.958286E-06,0,STAR,M0
1237661121850967223,49.0350040263991,41.1270195928665,17.07481,2.581127,2.935519,1.541218,2.39805,0.8568325,1.394301,2.204707,35255507619856,DEBLENDED_AT_EDGE STATIONARY MOVED BINNED1 INTERP COSMIC_RAY CHILD ,1874706407949887488,3.422313E-05,7.664688E-06,0,STAR,M1
1237661083198948546,48.8623519217073,41.4685722351831,17.24024,1.855412,2.20833,1.193502,1.769972,0.5764694,1.014828,3.983416,35255507484944,DEBLENDED_AT_EDGE STATIONARY MOVED BINNED1 NOPETRO CHILD ,1874708881851049984,0.133898,1.993064E-05,0,GALAXY,
1237661056355140014,49.4481643252086,42.5294129939519,16.66713,2.594587,3.56205,1.519388,2.639477,1.120089,2.042662,1.043204,35253360132144,DEBLENDED_AT_EDGE STATIONARY BINNED1 INTERP PEAKCENTER CHILD ,1874734995252209664,-6.762087E-06,1.538018E-05,0,STAR,M3
1237661059574269035,49.7701555813497,41.7192215795183,17.38575,2.524347,2.306242,1.378201,1.951666,0.5734653,0.9280415,1.151198,68987912192,STATIONARY BINNED1 ,1874758909630113792,-0.0001662838,8.008391E-06,0,STAR,K7
1237661056892208605,50.3291457279878,42.6785242316391,16.66591,2.644089,2.975693,1.555515,2.439891,0.8843756,1.420177,1.083782,268435456,BINNED1 ,1874769354990577664,7.364035E-05,8.7188E-06,0,STAR,M1
1237661060648076424,50.4891051545191,42.2059237262457,16.55109,2.393408,2.287331,1.256966,1.818655,0.5616894,1.030365,7.826227,35255507620112,DEBLENDED_AT_EDGE STATIONARY MOVED BINNED1 INTERP COSMIC_RAY NOPETRO CHILD ,1874780899862669312,0.1340203,1.895182E-05,0,GALAXY,
1237661056892404774,50.7866731556862,42.4578661138709,17.98614,2.768423,3.361769,1.637381,2.745378,1.107998,1.724388,1.213454,68987912192,STATIONARY BINNED1 ,1874781724496390144,0.0001646085,9.889195E-06,0,STAR,M2
1237661056355665148,50.8314480952228,41.8914999051289,17.8743,2.86882,3.223539,1.649103,2.634937,0.9858341,1.574436,1.097414,35259802451984,DEBLENDED_AT_EDGE STATIONARY DEBLENDED_AS_MOVING MOVED BINNED1 CHILD ,1874785297909180416,0.0001962722,8.247331E-06,0,STAR,M1
1237661056892470240,50.8899282051463,42.3187837469614,17.10106,2.102016,2.193226,1.234228,1.787849,0.5536213,0.9589977,4.502816,35255507619856,DEBLENDED_AT_EDGE STATIONARY MOVED BINNED1 INTERP COSMIC_RAY CHILD ,1874792994490574848,0.1057407,2.145841E-05,0,GALAXY,
1237661056355927080,51.4467562174237,41.5952211551287,17.29776,2.58865,2.211695,1.262512,1.844515,0.5820026,0.9491825,1.089259,35289867223056,DEBLENDED_AT_EDGE STATIONARY BAD_MOVING_FIT MOVED BINNED1 CHILD ,1874798217170806784,-6.207391E-05,7.964266E-06,0,STAR,K7
1237661060648403831,51.2830787082916,41.8154668896013,17.41555,2.263208,2.572447,1.404943,2.031084,0.6261406,1.167503,3.461638,35255507615760,DEBLENDED_AT_EDGE STATIONARY MOVED BINNED1 INTERP CHILD ,1874798492048713728,0.1348505,2.672645E-05,0,GALAXY,
1237661121314357993,49.4434197516661,40.4509838744582,17.47161,2.13274,2.311413,1.290615,1.831797,0.5411816,1.020798,4.981112,35253360136464,DEBLENDED_AT_EDGE STATIONARY BINNED1 INTERP COSMIC_RAY NOPETRO CHILD ,1875817189823506432,0.1345895,2.6925E-05,0,GALAXY,
1237661121850966603,49.1608997235118,41.266242194897,17.41565,2.958443,2.440973,1.494253,2.043756,0.5495033,0.9467201,3.980486,52845546704916,DEBLENDED_AT_EDGE INTERP_CENTER STATIONARY BINNED1 NOTCHECKED INTERP COSMIC_RAY CHILD EDGE ,1875823237137459200,0.1461723,2.190318E-05,0,GALAXY,
1237670458047923362,48.9406977555747,40.8279231634155,18.01754,1.992903,2.193617,1.29907,1.816288,0.5172176,0.8945465,2.086303,35253360001040,DEBLENDED_AT_EDGE STATIONARY BINNED1 CHILD ,1875831208596760576,0.1950882,2.342031E-05,0,GALAXY,
1237661121850835724,48.6692625261231,41.436922957429,16.43541,2.123632,2.108448,1.191008,1.697131,0.5061235,0.9174404,6.965913,52845546176528,DEBLENDED_AT_EDGE INTERP_CENTER STATIONARY BINNED1 INTERP CHILD ,1875836981032806400,0.1343239,1.631626E-05,0,GALAXY,
1237661060110745639,49.0207519307922,42.5443179232773,19.0528,2.596737,2.014259,1.230474,1.700853,0.4703789,0.7837849,1.517172,35287719874576,DEBLENDED_AT_EDGE STATIONARY BAD_MOVING_FIT BINNED1 INTERP COSMIC_RAY CHILD ,1875839180056061952,-2.429013E-07,1.010528E-05,0,STAR,K3
1237661060110746602,48.99442409467,42.4407557061582,16.79172,2.294628,2.195917,1.148661,1.724787,0.5761261,1.047256,4.583885,35225442849040,DEBLENDED_AT_EDGE BAD_MOVING_FIT DEBLENDED_AS_MOVING MOVED BINNED1 INTERP COSMIC_RAY NOPETRO CHILD ,1875839729811875840,0.064183,1.541633E-05,0,GALAXY,
1237661055281530187,49.1530003249114,41.5955682098865,17.32498,2.178995,2.192465,1.241671,1.773619,0.5319481,0.9507942,5.407341,35253360136208,DEBLENDED_AT_EDGE STATIONARY BINNED1 INTERP COSMIC_RAY CHILD ,1875868317114198016,0.1465144,2.834248E-05,0,GALAXY,
1237661056355336608,50.0367335929315,42.386893006074,18.00362,2.53367,2.031811,1.192905,1.721355,0.52845,0.8389053,1.068074,35287719870480,DEBLENDED_AT_EDGE STATIONARY BAD_MOVING_FIT BINNED1 INTERP CHILD ,1875874639306057728,6.220781E-05,9.194643E-06,0,STAR,K5
1237661059574269035,49.7701555813497,41.7192215795183,17.38575,2.524347,2.306242,1.378201,1.951666,0.5734653,0.9280415,1.151198,68987912192,STATIONARY BINNED1 ,1875882610765359104,-0.0001750703,8.757107E-06,0,STAR,K7
1237661055818663393,50.1775974531424,41.6947119969866,17.83062,2.16037,2.007986,1.113808,1.621389,0.5075817,0.8941784,2.548035,35259802587152,DEBLENDED_AT_EDGE STATIONARY DEBLENDED_AS_MOVING MOVED BINNED1 INTERP COSMIC_RAY CHILD ,1875901027585124352,0.08573911,2.26134E-05,0,GALAXY,
1237661059574334114,50.0299197642029,41.552969242595,18.42844,3.159212,2.888931,1.52495,2.367767,0.8428173,1.363981,1.11518,105624251793752,DEBLEND_NOPEAK DEBLENDED_AT_EDGE STATIONARY MOVED BINNED1 INTERP NOPETRO NODEBLEND CHILD BLENDED ,1875902951730472960,-0.0003445202,1.135527E-05,0,STAR,M1
1237661056892404892,50.7140393382475,42.3357981349764,16.38413,2.314802,2.235275,1.174082,1.760001,0.5859194,1.061193,4.375351,35253360136464,DEBLENDED_AT_EDGE STATIONARY BINNED1 INTERP COSMIC_RAY NOPETRO CHILD ,1875904326120007680,0.05033886,1.360191E-05,0,GALAXY,
1237661060111401930,50.7700694512557,41.7542798736106,14.95202,3.206179,2.682261,1.724278,2.412503,0.6882248,0.9579821,1.146511,52813333921808,DEBLENDED_AT_EDGE INTERP_CENTER BAD_MOVING_FIT MOVED BINNED1 INTERP CHILD ,1875910373433960448,0.0001075552,8.978011E-06,0,STAR,M0
1237661060111466837,50.9519056437048,41.6204392969173,17.06462,2.447615,2.323275,1.321404,1.882639,0.5612354,1.001871,4.655638,35253360136208,DEBLENDED_AT_EDGE STATIONARY BINNED1 INTERP COSMIC_RAY CHILD ,1875912847335122944,0.1341418,2.285199E-05,0,GALAXY,
1237661056892470094,50.8647768052482,42.3456781433967,16.04128,2.334867,2.23115,1.19297,1.800658,0.607688,1.038179,10.14285,35225442844944,DEBLENDED_AT_EDGE BAD_MOVING_FIT DEBLENDED_AS_MOVING MOVED BINNED1 INTERP NOPETRO CHILD ,1875917520259540992,0.05015002,1.348236E-05,0,GALAXY,
1237661060648273134,51.1563558481196,42.0698025531769,16.58581,2.063856,2.319474,1.179789,1.807118,0.6273298,1.139686,5.898683,35287719870480,DEBLENDED_AT_EDGE STATIONARY BAD_MOVING_FIT BINNED1 INTERP CHILD ,1875920269038610432,0.05024163,1.029026E-05,0,GALAXY,
1237661056355795571,51.1315299463184,41.6464196814115,19.70734,3.162252,2.529842,1.692287,2.455963,0.7636757,0.8375549,1.502464,105587744571408,DEBLEND_NOPEAK DEBLENDED_AT_EDGE BAD_MOVING_FIT BINNED1 INTERP CHILD ,1875924941963028480,-7.943783E-05,1.103575E-05,0,STAR,G0
1237661059574072371,49.2704224083103,41.8801243695276,17.53646,2.797422,2.757013,1.487082,2.275837,0.7887554,1.269932,1.222599,35255507615760,DEBLENDED_AT_EDGE STATIONARY MOVED BINNED1 INTERP CHILD ,1874739668176627712,2.560834E-05,7.899024E-06,0,STAR,M0
1237661082125467913,48.9837918855729,40.6078238757415,16.40373,1.953835,2.242287,1.265202,1.820232,0.5550308,0.9770851,12.08129,35253360136208,DEBLENDED_AT_EDGE STATIONARY BINNED1 INTERP COSMIC_RAY CHILD ,1875828734695598080,0.1347859,2.180964E-05,0,GALAXY,
1237670457510920517,49.2729493763286,40.2611191165874,15.08789,2.481157,2.203993,1.151182,1.728583,0.5774012,1.052811,11.36325,35219000397840,DEBLENDED_AT_EDGE BAD_MOVING_FIT BINNED1 INTERP COSMIC_RAY CHILD ,1875830658840946688,0.02724278,8.75159E-06,0,GALAXY,BROADLINE
1237661121850769886,48.5448212684546,41.4273405208483,18.16516,1.783201,1.981308,0.8912125,1.478582,0.5873699,1.090096,2.466993,1231487651414104,DEBLEND_DEGENERATE DEBLEND_NOPEAK DEBLENDED_AT_EDGE BAD_MOVING_FIT BINNED1 INTERP NODEBLEND CHILD BLENDED ,1875846876637456384,-0.000134262,1.403762E-05,0,STAR,M1
1237661083198883105,48.7169832165962,41.5528871518602,17.59016,2.019068,2.035597,1.074995,1.622238,0.5472431,0.9606018,2.917651,35221147877424,DEBLENDED_AT_EDGE BAD_MOVING_FIT MOVED BINNED1 INTERP PEAKCENTER CHILD ,1875847426393270272,0.04945709,1.757126E-05,0,GALAXY,
1237661059574072371,49.2704224083103,41.8801243695276,17.53646,2.797422,2.757013,1.487082,2.275837,0.7887554,1.269932,1.222599,35255507615760,DEBLENDED_AT_EDGE STATIONARY MOVED BINNED1 INTERP CHILD ,1875866118090942464,1.52504E-05,9.038277E-06,0,STAR,M1
1237661059574269120,49.6732849511774,41.5693368326331,18.32337,1.881937,2.788069,1.166231,2.194372,1.028141,1.621838,1.00158,105589892055056,DEBLEND_NOPEAK DEBLENDED_AT_EDGE BAD_MOVING_FIT MOVED BINNED1 INTERP CHILD ,1875883985154893824,-0.000115774,8.997086E-06,0,STAR,K7
