#Table1
objID,ra,dec,R_mag,r0,g_z0,u_g,g_z,g_r,g_i,r_i,r_z,petroRad_r,specObjID,z,zErr,zWarning,distance
1237661059574268835,49.7836819044895,41.5217218861315,17.01961,16.65221,0.4356767,1.254475,0.7636795,0.487257,0.6695518,0.1822948,0.2764225,1.153645,1874755885973137408,5.122858E-05,9.921777E-06,0,7.34187696691669
1237661059574333464,49.9061197597231,41.6328754033241,14.68653,14.29856,1.43324,1.979682,1.779612,0.9529448,1.427343,0.4743986,0.8266668,9.281603,1875888383201404928,0.02863127,5.421423E-06,0,7.41377299764801
1237661059574333464,49.9061197597231,41.6328754033241,14.68653,14.29856,1.43324,1.979682,1.779612,0.9529448,1.427343,0.4743986,0.8266668,9.281603,1874762208164997120,0.02863625,5.235329E-06,0,7.41377299764801
1237661059574333719,50.025488379003,41.6300421407339,13.46985,13.0895,1.630879,2.235578,1.970453,1.050948,1.576554,0.5256062,0.9195051,11.39941,1875902127096752128,0.01407554,6.614196E-06,0,7.85744049206873
1237661059574399621,50.1192252388923,41.4888413843425,14.70269,14.31973,1.535591,2.030753,1.87749,1.005064,1.53086,0.5257959,0.872426,5.59316,1875792450811881472,0.01812102,5.896984E-06,0,7.88815655745139
1237661059574399450,50.1222973668195,41.5145661636805,14.78054,14.39764,1.385805,1.920898,1.727653,0.9469728,1.419871,0.4728985,0.7806797,19.86703,1875903226608379904,0.02272653,7.10451E-06,0,7.88968249991025
1237661059574399450,50.1222973668195,41.5145661636805,14.78054,14.39764,1.385805,1.920898,1.727653,0.9469728,1.419871,0.4728985,0.7806797,19.86703,1874766331333601280,0.02274616,6.889629E-06,0,7.88968249991025
1237661122388034402,49.9066992302963,41.3800473541336,15.79804,15.43007,1.396773,2.037449,1.725286,0.8913355,1.3637,0.4723644,0.833951,12.31191,1875796299102578688,0.01836348,1.54475E-05,0,8.18335245220294
1237661059574268779,49.8640621036807,41.6352685675764,14.24414,13.85324,1.402718,1.666071,1.751706,0.9271002,1.374076,0.4469757,0.8246059,18.09395,1875891406858381312,0.02587008,7.03041E-06,0,8.21518358558438
1237661059574268779,49.8640621036807,41.6352685675764,14.24414,13.85324,1.402718,1.666071,1.751706,0.9271002,1.374076,0.4469757,0.8246059,18.09395,1874759184508020736,0.02586608,7.017476E-06,0,8.21518358558438
1237661055281725886,49.7712214276737,41.4702044779128,15.73157,15.36054,1.445647,1.647493,1.776888,0.8393183,1.336573,0.4972544,0.9375696,10.11014,1874678095525472256,0.05185063,5.627423E-06,0,8.29589334807368
1237661059574399641,50.0308283659175,41.3882932987744,16.45989,16.08582,0.5717896,1.436605,0.9057541,0.5805645,0.8196449,0.2390804,0.3251896,1.360859,1875794649835137024,-0.000131474,9.619292E-06,0,8.38988229473541
1237661059574399641,50.0308283659175,41.3882932987744,16.45989,16.08582,0.5717896,1.436605,0.9057541,0.5805645,0.8196449,0.2390804,0.3251896,1.360859,1874670673821984768,-0.0001305603,9.954098E-06,0,8.38988229473541
1237661059574268612,49.760046123573,41.5502349902431,14.87162,14.4973,1.376175,2.01246,1.710363,0.8994465,1.337598,0.4381514,0.8109169,10.77055,1875882061009545216,0.01411224,7.332688E-06,0,8.6746518702885
1237661059574268612,49.760046123573,41.5502349902431,14.87162,14.4973,1.376175,2.01246,1.710363,0.8994465,1.337598,0.4381514,0.8109169,10.77055,1874756985484765184,0.01413424,7.094295E-06,0,8.6746518702885
1237661059574399672,50.0646761465794,41.398649050392,13.50894,13.1326,1.543639,2.111705,1.879623,1.020418,1.549163,0.5287447,0.8592052,14.29415,1875796573980485632,0.02241023,6.142608E-06,0,8.67761500377584
