,objID,ra,dec,R_mag,r0,g_z0,u_g,g_z,g_r,g_i,r_i,r_z,petroRad_r,flags,flag_text,specObjID,z,zErr,zWarning,class,subClass,distance
112,1237661059574203660,49.665099654597,41.7720034035862,17.37716,16.98797,0.9037797,1.212706,1.251247,0.6154137,1.050488,0.4350739,0.6358337,3.733384,35253360001040,DEBLENDED_AT_EDGE STATIONARY BINNED1 CHILD ,1875881786131638272,0.1350829,7.353454e-06,0,GALAXY,STARBURST,20.018450960135
113,1237661055818793331,50.3925238215328,41.5061613782787,14.03413,13.64203,1.767864,1.991905,2.11793,1.074134,1.629095,0.5549612,1.043797,10.93611,1161118907240464,DEBLEND_DEGENERATE DEBLENDED_AT_EDGE BAD_MOVING_FIT BINNED1 INTERP COSMIC_RAY CHILD ,1874777051571972096,0.02404649,5.182994e-06,0,GALAXY,BROADLINE,20.0354620791863
114,1237661055281660332,49.498157446947,41.5203688611731,13.58597,13.18582,1.530978,2.0746,1.888221,0.9962645,1.493053,0.496789,0.8919563,23.69171,35253360136208,DEBLENDED_AT_EDGE STATIONARY BINNED1 INTERP COSMIC_RAY CHILD ,1875880961497917440,0.01105779,6.182689e-06,0,GALAXY,,20.1557977796226
116,1237661083199210512,49.631956124873,41.2740581753394,14.91702,14.48598,1.469363,1.99903,1.854183,0.9751854,1.466746,0.4915609,0.8789978,11.69349,35219000262744,DEBLENDED_AT_EDGE BAD_MOVING_FIT BINNED1 NODEBLEND CHILD BLENDED ,1875812242021181440,0.01842828,6.549546e-06,0,GALAXY,AGN BROADLINE,20.1595998265812
117,1237661055281660253,49.5073308611243,41.5926931133879,15.17137,14.7658,1.711991,1.893782,2.074067,1.106958,1.690604,0.5836458,0.9671087,7.1666,35253360398352,DEBLENDED_AT_EDGE STATIONARY BINNED1 SATURATED INTERP COSMIC_RAY CHILD ,1874751213048719360,0.01397691,6.456167e-06,0,GALAXY,BROADLINE,20.2977105616823
118,1237661059574465887,50.2962540829001,41.298821003556,17.23161,16.86538,1.290207,2.240297,1.61717,1.012762,1.392101,0.3793392,0.6044083,1.369866,2381894910024,BAD_MOVING_FIT_CHILD PEAKS_TOO_CLOSE BAD_MOVING_FIT NODEBLEND_MOVING MOVED BINNED1 DEBLEND_PRUNED NODEBLEND BLENDED ,1875790526666532864,-3.245722e-05,7.647559e-06,0,STAR,K5,20.3163275879825
119,1237661055281857673,49.979897820705,41.1726324612579,16.49719,16.1679,1.269485,1.818489,1.563464,0.8557739,1.259991,0.4042168,0.7076902,6.642812,52845546180624,DEBLENDED_AT_EDGE INTERP_CENTER STATIONARY BINNED1 INTERP COSMIC_RAY CHILD ,1874668749676636160,0.01634287,1.358605e-05,0,GALAXY,,20.482715360875
121,1237661055281660630,49.4898628885605,41.4973067696004,14.69813,14.30484,1.436258,1.997944,1.787376,0.9457808,1.428069,0.4822884,0.8415956,13.07164,35253360136208,DEBLENDED_AT_EDGE STATIONARY BINNED1 INTERP COSMIC_RAY CHILD ,1875825436160714752,0.01643516,8.210612e-06,0,GALAXY,BROADLINE,20.5492324353883
123,1237661055281922625,50.2217795302807,41.2257344379433,15.75863,15.40834,0.7408831,1.64344,1.053614,0.6633434,0.9928265,0.329483,0.3902702,1.362951,35289867358224,DEBLENDED_AT_EDGE STATIONARY BAD_MOVING_FIT MOVED BINNED1 INTERP COSMIC_RAY CHILD ,1874662977240590336,-6.998846e-05,7.812278e-06,0,STAR,F9,21.2297416124072
124,1237661083199340713,49.8996627467526,41.1511503541778,14.32756,13.9924,1.536383,1.995684,1.835606,0.9442053,1.44271,0.4985046,0.8914003,14.13165,35219000660056,DEBLENDED_AT_EDGE BAD_MOVING_FIT BINNED1 SATURATED INTERP COSMIC_RAY NODEBLEND CHILD BLENDED ,1874668199920822272,0.01989758,6.079741e-06,0,GALAXY,BROADLINE,21.8201311228011
125,1237661059574530716,50.2869381053616,41.2530385705908,15.38101,15.02604,1.423444,1.941515,1.740355,0.9379263,1.402795,0.4648685,0.8024292,8.220746,35255507619856,DEBLENDED_AT_EDGE STATIONARY MOVED BINNED1 INTERP COSMIC_RAY CHILD ,1875788877399091200,0.01619791,8.144386e-06,0,GALAXY,BROADLINE,21.8651082814017
127,1237670458048512961,49.9427904069998,41.8795154436514,17.16523,16.75123,0.5432451,1.354103,0.9128513,0.6176529,0.7512188,0.1335659,0.2951984,1.610504,35255507619856,DEBLENDED_AT_EDGE STATIONARY MOVED BINNED1 INTERP COSMIC_RAY CHILD ,2698926725613512704,-0.000161997,1.084471e-05,0,STAR,F9,21.985624319439
128,1237661055281660551,49.4628396701164,41.4508207228506,13.68613,13.307,1.590416,2.02698,1.928901,0.9883966,1.52095,0.5325537,0.9405041,11.09029,35255507619856,DEBLENDED_AT_EDGE STATIONARY MOVED BINNED1 INTERP COSMIC_RAY CHILD ,1875824611526993920,0.0146033,7.017371e-06,0,GALAXY,BROADLINE,22.0680920076788
130,1237661083199275874,49.8536925506709,41.1475469331591,16.28297,15.92535,0.3214731,1.190844,0.640749,0.4208069,0.5846119,0.163805,0.2199421,1.17515,35255507615760,DEBLENDED_AT_EDGE STATIONARY MOVED BINNED1 INTERP CHILD ,1875800422271182848,6.414548e-05,1.031113e-05,0,STAR,F5,22.3298935756429
131,1237661083199144664,49.5154139273366,41.3230599188577,16.70314,16.32531,1.541486,2.152695,1.878805,0.9938316,1.495775,0.5019436,0.8849735,4.110968,35253360656400,DEBLENDED_AT_EDGE STATIONARY BINNED1 NOTCHECKED INTERP CHILD ,1874688540885936128,0.06621937,1.168832e-05,0,GALAXY,,22.5073405151565
132,1237661055281661187,49.4421739623854,41.5116662675731,17.45889,17.07613,2.333643,2.733459,2.67536,1.498091,2.227669,0.729578,1.177269,1.744847,72057628666236928,MAYBE_CR BAD_MOVING_FIT BINNED1 INTERP COSMIC_RAY ,1874687991130122240,5.100076e-05,8.283845e-06,0,STAR,M0,22.6678550751821
133,1237661059574530116,50.4075544221459,41.3578114673567,16.5923,16.21637,1.493412,2.197964,1.829041,0.9854164,1.453777,0.4683609,0.8436251,59.89828,176025208754708,PSF_FLUX_INTERP DEBLENDED_AT_EDGE STATIONARY BAD_MOVING_FIT BINNED1 NOTCHECKED INTERP COSMIC_RAY MANYPETRO CHILD EDGE ,1875780631061882880,0.02154604,8.898423e-06,0,GALAXY,,22.7277719962573
134,1237661055281661097,49.4317076157181,41.5455785249482,17.76509,17.37852,0.5493342,1.354252,0.8944569,0.5611763,0.8042698,0.2430935,0.3332806,1.409789,35253360132112,DEBLENDED_AT_EDGE STATIONARY BINNED1 INTERP CHILD ,1875880136864196608,-0.0001869565,1.134309e-05,0,STAR,F9,23.2138049554269
136,1237661059574202508,49.5350273421591,41.7543521559441,13.38606,13.01319,1.7251,2.067204,2.057991,1.039588,1.584288,0.5446997,1.018403,13.34343,35289867358224,DEBLENDED_AT_EDGE STATIONARY BAD_MOVING_FIT MOVED BINNED1 INTERP COSMIC_RAY CHILD ,1875876838329313280,0.01642188,6.6107e-06,0,GALAXY,BROADLINE,23.4594089294794
138,1237661083199275747,49.7798434161085,41.1426340291011,15.09814,14.69629,1.052421,1.350511,1.411182,0.6988964,1.097469,0.3985729,0.712286,10.73586,1161153268027408,DEBLEND_DEGENERATE DEBLENDED_AT_EDGE STATIONARY BINNED1 SUBTRACTED INTERP COSMIC_RAY CHILD ,1874673697478961152,0.02634859,8.394087e-06,0,GALAXY,STARFORMING,23.4649012713481
139,1237661083199144680,49.5028172944523,41.2990947963276,16.05032,15.66976,1.307747,1.815702,1.647505,0.881052,1.303479,0.4224272,0.7664528,7.688799,35253360136208,DEBLENDED_AT_EDGE STATIONARY BINNED1 INTERP COSMIC_RAY CHILD ,1874685517228959744,0.01404012,1.283073e-05,0,GALAXY,,23.746662937466
140,1237661083199275743,49.7993394162836,41.1325137671338,16.70784,16.32068,1.836882,1.871563,2.182531,1.453463,1.896994,0.443531,0.7290688,4.052474,35253361184784,DEBLENDED_AT_EDGE STATIONARY BINNED1 SUBTRACTED INTERP COSMIC_RAY CHILD ,1874676446258030592,0.04813373,1.210087e-05,0,GALAXY,,23.7809857390159
141,1237661083199341789,49.9596364870387,41.1071148167986,17.26524,16.94526,1.325616,2.223671,1.611286,0.9656525,1.356205,0.3905525,0.6456337,1.120391,52845546176560,DEBLENDED_AT_EDGE INTERP_CENTER STATIONARY BINNED1 INTERP PEAKCENTER CHILD ,1875795474468857856,-4.858039e-05,7.195056e-06,0,STAR,K3,24.3660873097436
142,1237661060111204991,50.2554087638575,41.8491100481994,17.03628,16.61666,0.4375313,0.6391497,0.8121595,-1.074086,-0.3595514,0.7145348,1.886246,1.769921,272713512259600,PSF_FLUX_INTERP DEBLEND_NOPEAK DEBLENDED_AT_EDGE INTERP_CENTER SATUR_CENTER BAD_MOVING_FIT BINNED1 SATURATED INTERP COSMIC_RAY CHILD ,2698947891212347392,2.546713e-05,7.675582e-06,0,STAR,F5,24.4503326650469
143,1237661122388164637,50.0402382592295,41.1110424504092,16.18823,15.86197,0.8269879,1.611179,1.118268,0.6608257,0.9551172,0.2942915,0.4574423,2.465446,217231523912,PEAKS_TOO_CLOSE STATIONARY NODEBLEND_MOVING MOVED BINNED1 DEBLEND_PRUNED INTERP NODEBLEND BLENDED ,1874668474798729216,-8.675984e-05,7.869617e-06,0,STAR,F9,24.4890073805447
144,1237661055818794217,50.4895205180798,41.5521931418354,15.34798,14.94075,1.491176,2.07003,1.854746,0.9827232,1.478887,0.4961634,0.8720226,4.756853,35253360136208,DEBLENDED_AT_EDGE STATIONARY BINNED1 INTERP COSMIC_RAY CHILD ,1874774852548716544,0.01983583,6.619844e-06,0,GALAXY,,24.4931411258321
145,1237661059574137359,49.5545783717589,41.8025113837332,17.2465,16.87619,1.090907,1.73312,1.421513,0.7541542,1.047434,0.2932796,0.6673584,3.764386,35287721443348,DEBLENDED_AT_EDGE STATIONARY BAD_MOVING_FIT BINNED1 SUBTRACTED NOTCHECKED INTERP CHILD EDGE ,1875877662963034112,0.01612693,1.681136e-05,0,GALAXY,BROADLINE,24.7085416995888
146,1237661060111270244,50.3783516844226,41.7692572319905,16.74914,16.32389,1.547439,2.148781,1.927097,1.009399,1.502163,0.4927635,0.9176979,3.199666,35253360132624,DEBLENDED_AT_EDGE STATIONARY BINNED1 INTERP MANYPETRO CHILD ,1875899928073496576,0.04940607,1.174278e-05,0,GALAXY,,24.7149778109166
147,1237661083199210655,49.6089271981223,41.1874693492049,18.48174,18.00409,0.7913657,1.64889,1.217798,0.7493057,0.9949646,0.2456589,0.4684925,1.329185,263951778709520,PSF_FLUX_INTERP DEBLEND_NOPEAK DEBLENDED_AT_EDGE INTERP_CENTER STATIONARY BINNED1 INTERP CHILD ,1874688815763843072,-7.150422e-05,1.021485e-05,0,STAR,F9,24.7624706802827
148,1237661059574530886,50.4668689770366,41.3705401026461,18.0958,17.71999,1.69034,2.605005,2.025856,1.278723,1.768171,0.4894485,0.7471333,1.502858,193617394270296,PSF_FLUX_INTERP DEBLENDED_AT_EDGE INTERP_CENTER STATIONARY BAD_MOVING_FIT BINNED1 INTERP NODEBLEND CHILD BLENDED ,1875781180817696768,6.190497e-05,9.595528e-06,0,STAR,K7,24.9105232036676
150,1237661059574138014,49.5269787314467,41.7991761650479,15.88972,15.52506,1.52212,2.021513,1.847678,0.9842319,1.461708,0.4774761,0.8634462,3.819121,35255507619856,DEBLENDED_AT_EDGE STATIONARY MOVED BINNED1 INTERP COSMIC_RAY CHILD ,1875876563451406336,0.026633,7.292426e-06,0,GALAXY,,25.468542113042
152,1237661055281659994,49.3661256874807,41.4880812795921,14.1539,13.78648,1.503254,2.051811,1.831284,0.9742117,1.46669,0.4924784,0.8570719,18.98946,1161153266979088,DEBLEND_DEGENERATE DEBLENDED_AT_EDGE STATIONARY BINNED1 INTERP COSMIC_RAY NOPETRO CHILD ,1875825985916528640,0.01683295,7.320304e-06,0,GALAXY,BROADLINE,26.1323297613219
154,1237661059574137345,49.5813214431258,41.8559828364649,15.42837,15.05605,1.491985,2.045612,1.824386,0.9884501,1.449248,0.4607983,0.8359356,6.034668,105622106149396,DEBLEND_NOPEAK DEBLENDED_AT_EDGE STATIONARY BINNED1 SUBTRACTED NOTCHECKED SATURATED INTERP COSMIC_RAY MANYPETRO CHILD EDGE ,1874755336217323520,0.02767919,7.190252e-06,0,GALAXY,,26.2924930383117
155,1237661060111204787,50.2412948084998,41.8938503657885,13.70485,13.28549,1.810875,2.32623,2.185272,1.106351,1.73751,0.6311588,1.078921,13.80309,35253360398352,DEBLENDED_AT_EDGE STATIONARY BINNED1 SATURATED INTERP COSMIC_RAY CHILD ,1874773753037088768,0.01470186,5.048379e-06,0,GALAXY,BROADLINE,26.3826411308093
156,1237661083199275188,49.6507692111618,41.1286046001567,15.39939,14.94484,1.059963,1.993343,1.465769,1.059076,1.43905,0.3799734,0.4066925,1.138809,35225442848784,DEBLENDED_AT_EDGE BAD_MOVING_FIT DEBLENDED_AS_MOVING MOVED BINNED1 INTERP COSMIC_RAY CHILD ,1875811417387460608,-0.0001695436,6.885887e-06,0,STAR,K1,26.6464584288467
157,1237661055818858633,50.5378202439946,41.4507774213165,15.23594,14.83222,1.439226,2.050936,1.799652,0.9694901,1.443262,0.473772,0.830162,11.21194,35253360136208,DEBLENDED_AT_EDGE STATIONARY BINNED1 INTERP COSMIC_RAY CHILD ,1875782005451417600,0.02088038,9.344755e-06,0,GALAXY,,26.8325577888319
158,1237661059574531029,50.4849246036073,41.2983642796027,16.34046,15.98779,1.27888,1.951904,1.593737,0.8837719,1.274496,0.3907242,0.7099648,7.757533,35253360136208,DEBLENDED_AT_EDGE STATIONARY BINNED1 INTERP COSMIC_RAY CHILD ,1875780356183975936,0.01630381,1.234863e-05,0,GALAXY,,27.4350288685665
160,1237661060111139413,50.1299826378577,41.9502979314223,15.12645,14.71684,0.925566,1.835257,1.291257,0.9407415,1.330301,0.3895597,0.3505154,1.159227,35221147881488,DEBLENDED_AT_EDGE BAD_MOVING_FIT MOVED BINNED1 INTERP COSMIC_RAY CHILD ,1875898828561868800,-0.0001178014,7.648764e-06,0,STAR,K1,27.4856346313398
161,1237661060111074083,49.9410884084147,41.9764093259918,14.44186,14.03647,1.54587,2.058765,1.907802,1.00344,1.505374,0.5019341,0.9043617,7.136187,35219000397840,DEBLENDED_AT_EDGE BAD_MOVING_FIT BINNED1 INTERP COSMIC_RAY CHILD ,1875887833445591040,0.01602614,6.366049e-06,0,GALAXY,BROADLINE,27.7996946248362
162,1237661055281988048,50.2822057978094,41.1160492772003,18.98148,18.67382,0.3708319,1.426273,0.6455021,0.3472309,0.770319,0.4230881,0.2982712,1.189595,105656464048144,DEBLEND_NOPEAK DEBLENDED_AT_EDGE STATIONARY BAD_MOVING_FIT BINNED1 INTERP CHILD ,1875789152276998144,-2.336368e-06,7.932705e-06,0,STAR,F9,28.2160110645633
163,1237661083199144302,49.3869972146589,41.296989045752,14.76266,14.40832,1.428403,1.99568,1.744754,0.9391747,1.387076,0.4479017,0.8055792,10.14158,35253360660496,DEBLENDED_AT_EDGE STATIONARY BINNED1 NOTCHECKED INTERP COSMIC_RAY CHILD ,1874687716252215296,0.01944314,6.223693e-06,0,GALAXY,,28.3299307533998
164,1237661083199144825,49.359348013872,41.3355162432555,17.55119,17.19427,1.495949,1.983553,1.814596,0.9707489,1.43388,0.463131,0.8438473,2.91886,35253360132112,DEBLENDED_AT_EDGE STATIONARY BINNED1 INTERP CHILD ,1875825161282807808,0.05922813,1.806855e-05,0,GALAXY,,28.4920769561456
165,1237661083199079603,49.3236841359998,41.4214466740835,15.46424,15.10162,1.42502,1.90966,1.748759,0.9255457,1.397933,0.4723873,0.8232136,9.336884,35219001311248,DEBLENDED_AT_EDGE BAD_MOVING_FIT BINNED1 SUBTRACTED CHILD ,1875824336649086976,0.02083413,1.009681e-05,0,GALAXY,,28.5454610534508
166,1237661055818858862,50.5802270782083,41.4454066396289,15.22934,14.82012,1.513277,2.067575,1.878614,0.9889984,1.488304,0.4993057,0.889616,8.001989,35253360398352,DEBLENDED_AT_EDGE STATIONARY BINNED1 SATURATED INTERP COSMIC_RAY CHILD ,1875782280329324544,0.02055154,7.56611e-06,0,GALAXY,,28.7662518940905
167,1237661060111270442,50.4645521200175,41.7972508487597,14.96515,14.53317,1.762859,2.201223,2.148524,1.115597,1.709916,0.5943193,1.032928,5.437454,35184640659472,DEBLENDED_AT_EDGE BINNED1 INTERP COSMIC_RAY CHILD ,1875913122213029888,0.0193608,7.524445e-06,0,GALAXY,BROADLINE,28.8028382222997
168,1237661055818531808,49.7646076974504,41.9741404391237,14.96885,14.59442,1.459037,2.049974,1.793324,0.9574709,1.457897,0.5004263,0.8358526,6.394519,35184641708048,DEBLENDED_AT_EDGE BINNED1 SUBTRACTED INTERP COSMIC_RAY CHILD ,1874760833775462400,0.01533468,5.543508e-06,0,GALAXY,BROADLINE,28.838548419931
169,1237661083199275476,49.6812283687428,41.0724997416086,13.93868,13.55276,1.573056,2.073194,1.917592,1.001932,1.540995,0.5390625,0.9156599,13.89175,35253360136208,DEBLENDED_AT_EDGE STATIONARY BINNED1 INTERP COSMIC_RAY CHILD ,1875810592753739776,0.0189498,7.54687e-06,0,GALAXY,BROADLINE,29.0187151165481
170,1237661055281988793,50.3513890522591,41.1358669686683,16.30981,15.99652,1.276944,1.641029,1.556646,0.8648815,1.262527,0.397645,0.6917648,10.13923,52845546180624,DEBLENDED_AT_EDGE INTERP_CENTER STATIONARY BINNED1 INTERP COSMIC_RAY CHILD ,1874651157490591744,0.02058422,1.910379e-05,0,GALAXY,,29.0654845241556
171,1237661083199078963,49.3067191820093,41.4355052201931,14.84952,14.4889,1.390994,1.899044,1.712949,0.9275637,1.3781,0.4505367,0.7853851,9.490194,35253360132112,DEBLENDED_AT_EDGE STATIONARY BINNED1 INTERP CHILD ,1874686891618494464,0.01664257,5.955367e-06,0,GALAXY,BROADLINE,29.1446360669801
172,1237661055281595362,49.3356924370468,41.6862404604867,17.49317,17.12125,0.9346491,1.233128,1.266691,0.6305046,1.057232,0.4267273,0.6361866,3.750582,35253360001040,DEBLENDED_AT_EDGE STATIONARY BINNED1 CHILD ,1875867492480477184,0.1339846,7.321081e-06,0,GALAXY,STARBURST,29.3169454254055
173,1237661059574531166,50.4370749095024,41.1881314967587,18.36819,18.04255,0.6046111,1.328714,0.8953438,0.5628929,0.7877197,0.2248268,0.3324509,1.268636,35253360132624,DEBLENDED_AT_EDGE STATIONARY BINNED1 INTERP MANYPETRO CHILD ,1874651432368498688,-0.0002109229,1.293104e-05,0,STAR,F9,29.4618714257647
174,1237661060111336458,50.5410991979522,41.7273450946203,14.8987,14.48003,1.373976,2.032057,1.747755,0.9474602,1.38022,0.4327602,0.8002949,15.25338,35255507616016,DEBLENDED_AT_EDGE STATIONARY MOVED BINNED1 INTERP NOPETRO CHILD ,1874775402304530432,0.01388589,9.428596e-06,0,GALAXY,BROADLINE,29.5981560448169
175,1237661083199144802,49.3341940619202,41.330028965925,16.71757,16.36122,1.420195,1.844263,1.738333,0.9127541,1.363832,0.4510784,0.8255787,7.393939,35253360132112,DEBLENDED_AT_EDGE STATIONARY BINNED1 INTERP CHILD ,1874685242351052800,0.05933218,1.431923e-05,0,GALAXY,,29.6660668255323
176,1237661059574137153,49.5106706715106,41.8881510691392,17.35184,17.00129,0.479496,1.151405,0.7924538,0.475071,0.7002659,0.2251949,0.3173828,1.045291,35253360001040,DEBLENDED_AT_EDGE STATIONARY BINNED1 CHILD ,1875879037352568832,-0.0002535893,1.315618e-05,0,STAR,F5,29.798113103971
177,1237661055281594509,49.3050585509131,41.650954259702,14.47081,14.09556,1.580378,2.050713,1.915394,1.020817,1.512748,0.491931,0.894577,12.71222,35219001708560,DEBLENDED_AT_EDGE BAD_MOVING_FIT BINNED1 SUBTRACTED SATURATED INTERP COSMIC_RAY CHILD ,1874739393298720768,0.02040782,5.797316e-06,0,GALAXY,,29.9613440140633
178,1237661055281594891,49.2837319861403,41.569055834369,17.22175,16.86081,0.9229512,1.144636,1.245199,0.5022316,0.6710262,0.1687946,0.7429676,2.022664,72163181782503440,MAYBE_CR DEBLEND_NOPEAK DEBLENDED_AT_EDGE BAD_MOVING_FIT BINNED1 INTERP COSMIC_RAY CHILD ,1874742691833604096,-1.227776e-05,8.150641e-06,0,STAR,F9,29.9617369150627
179,1237661055281988858,50.4211048882726,41.1599528742314,18.22429,17.90444,0.7366381,1.392191,1.022192,0.6181202,0.8128738,0.1947536,0.4040718,1.544082,17661174091776,INTERP_CENTER STATIONARY BINNED1 INTERP COSMIC_RAY ,1875778706916534272,-8.916161e-05,1.330362e-05,0,STAR,F9,30.0953872828841
181,1237661083199079044,49.3008178765353,41.3811309686393,17.19889,16.83648,1.454001,1.979811,1.777552,0.9287243,1.418081,0.489357,0.8488274,4.434128,35253361709076,DEBLENDED_AT_EDGE STATIONARY BINNED1 SUBTRACTED NOTCHECKED INTERP COSMIC_RAY CHILD EDGE ,1875826260794435584,0.05939694,1.40681e-05,0,GALAXY,,30.1076937087524
182,1237661060111074117,49.9764794969313,42.0146657676511,14.50536,14.09934,1.663541,2.038153,2.02602,1.027195,1.572117,0.5449219,0.9988251,13.4953,35219000397840,DEBLENDED_AT_EDGE BAD_MOVING_FIT BINNED1 INTERP COSMIC_RAY CHILD ,1875888108323497984,0.0155698,9.102262e-06,0,GALAXY,AGN,30.1234420135565
183,1237661055818465980,49.7233351705975,41.9871720395959,16.34774,15.97935,0.3924245,1.156849,0.7213154,0.473238,0.7244892,0.2512512,0.2480774,19.57009,35253361447440,DEBLENDED_AT_EDGE STATIONARY BINNED1 SUBTRACTED SATURATED INTERP COSMIC_RAY MANYPETRO CHILD ,1874757535240579072,-0.000225308,9.267887e-06,0,STAR,F5,30.1504334662938
184,1237661055818465917,49.6969855145771,41.9806120446948,15.11606,14.74978,1.341369,1.812647,1.66837,0.8832788,1.315913,0.4326344,0.7850914,18.86326,35253361185040,DEBLENDED_AT_EDGE STATIONARY BINNED1 SUBTRACTED INTERP COSMIC_RAY NOPETRO CHILD ,1875886184178149376,0.0174931,1.013322e-05,0,GALAXY,,30.1960645947545
185,1237661060111204890,50.3331335352798,41.9289843514299,14.58212,14.15871,1.229526,1.897065,1.607539,0.8241234,1.280101,0.4559774,0.7834158,20.2764,35219000397912,DEBLENDED_AT_EDGE BAD_MOVING_FIT BINNED1 INTERP COSMIC_RAY NODEBLEND CHILD BLENDED ,1874773478159181824,0.009894825,5.769944e-06,0,GALAXY,,30.3668297231767
186,1237661060111204887,50.332964562893,41.9318584299157,14.27695,13.85353,1.182422,1.470821,1.560439,0.7297134,1.154197,0.4244833,0.8307257,7.04322,1161118907240464,DEBLEND_DEGENERATE DEBLENDED_AT_EDGE BAD_MOVING_FIT BINNED1 INTERP COSMIC_RAY CHILD ,1875900202951403520,0.00988334,9.029792e-06,0,GALAXY,STARFORMING,30.5041773181763
187,1237661060111270783,50.4167280395728,41.8854259834874,19.13459,18.70981,1.723909,0.3591003,2.103149,0.5720959,1.422861,0.8507652,1.531054,1.245746,2381827801600,BAD_MOVING_FIT_CHILD PEAKS_TOO_CLOSE BAD_MOVING_FIT NODEBLEND_MOVING MOVED BINNED1 MANYPETRO ,2721474135736739840,4.944745e-05,1.614783e-05,0,STAR,M3,30.6990861518405
188,1237661083199406143,49.9799372067838,41.0019206515408,14.73238,14.42508,0.3060176,1.36926,0.5803633,0.5355196,0.6925983,0.1570787,0.04484367,1.263539,193550822277136,PSF_FLUX_INTERP DEBLENDED_AT_EDGE INTERP_CENTER BAD_MOVING_FIT MOVED BINNED1 INTERP CHILD ,1875794924713043968,8.460406e-05,9.755094e-06,0,STAR,F2,30.707377595725
189,1237661059574137084,49.4917084104085,41.9004985957316,14.91149,14.56861,1.432458,1.942652,1.738581,0.92204,1.383881,0.4618406,0.8165407,8.157816,35253360398352,DEBLENDED_AT_EDGE STATIONARY BINNED1 SATURATED INTERP COSMIC_RAY CHILD ,1875879587108382720,0.02682044,6.753354e-06,0,GALAXY,,30.913521953078
190,1237661060111335970,50.5975011502279,41.6876454625289,15.63863,15.24009,0.3804601,1.316759,0.736269,0.6033735,0.8356962,0.2323227,0.1328955,1.238689,2381827801088,BAD_MOVING_FIT_CHILD PEAKS_TOO_CLOSE BAD_MOVING_FIT NODEBLEND_MOVING MOVED BINNED1 ,1874774027914995712,-1.641903e-05,8.017039e-06,0,STAR,G2,31.0210588141389
191,1237661083199079585,49.2728503868999,41.3816916162151,18.24732,17.88568,0.4215097,1.186684,0.7443714,0.4894333,0.6810169,0.1915836,0.2549381,1.186409,35253360132112,DEBLENDED_AT_EDGE STATIONARY BINNED1 INTERP CHILD ,1874698986246400000,-7.24655e-05,1.290586e-05,0,STAR,G2,31.3143499076179
192,1237661060111074617,49.9052836421163,42.0396064642869,17.27948,16.88574,1.430794,1.79331,1.782312,0.8917217,1.40423,0.5125084,0.8905907,1.143384,34628173824,BAD_MOVING_FIT BINNED1 ,1875887008811870208,-0.0002692883,8.885756e-06,0,GALAXY,,31.6446960742935
193,1237661055818465750,49.6637743795543,41.9971068206255,15.18591,14.82304,1.432495,1.941868,1.756459,0.9290638,1.412671,0.4836073,0.8273954,6.361455,35184640655376,DEBLENDED_AT_EDGE BINNED1 INTERP CHILD ,1874752862316161024,0.02714515,5.346038e-06,0,GALAXY,,31.681410014662
194,1237661055281594523,49.2583291006457,41.6329482608525,17.49508,17.12873,1.454267,1.959175,1.781338,1.04707,1.510738,0.4636688,0.7342682,1.561496,35184675258384,DEBLENDED_AT_EDGE BINNED1 DEBLENDED_AS_PSF SUBTRACTED INTERP CHILD ,1875870241259546624,0.01235515,8.770384e-06,0,GALAXY,BROADLINE,31.7242740122792
196,1237661055281594421,49.2842438443606,41.7045780881608,16.58154,16.22656,1.614067,2.102201,1.930984,1.090538,1.554058,0.4635201,0.8404465,6.259315,35253360136208,DEBLENDED_AT_EDGE STATIONARY BINNED1 INTERP COSMIC_RAY CHILD ,1875867767358384128,0.1340486,1.411338e-05,0,GALAXY,,31.8621704876369
198,1237670457511249007,49.6536369464932,41.0192114952362,14.65362,14.31938,1.32468,1.920501,1.623085,0.8525095,1.300254,0.4477444,0.7705755,25.2602,35253360136464,DEBLENDED_AT_EDGE STATIONARY BINNED1 INTERP COSMIC_RAY NOPETRO CHILD ,1875814166166530048,0.01541553,8.403626e-06,0,GALAXY,BROADLINE,32.4471303574707
199,1237661059574595780,50.5828459137216,41.2553051931563,15.60067,15.24785,1.348703,1.680008,1.663694,0.8909025,1.311364,0.4204617,0.7727919,10.80535,35253360136208,DEBLENDED_AT_EDGE STATIONARY BINNED1 INTERP COSMIC_RAY CHILD ,1874643186031290368,0.04044469,1.16302e-05,0,GALAXY,STARFORMING,32.5478512054652
200,1237661083199079670,49.2708622239415,41.3122739854936,18.19426,17.83792,1.277066,2.250494,1.595196,0.9691048,1.345999,0.376894,0.626091,1.413636,35253360132112,DEBLENDED_AT_EDGE STATIONARY BINNED1 INTERP CHILD ,1874698711368493056,-0.0002275567,9.128199e-06,0,STAR,K3,32.7112995106149
201,1237661083199078715,49.249038431142,41.356596999995,13.90842,13.5445,1.568522,2.08258,1.893417,0.9928551,1.486434,0.4935789,0.9005623,6.4932,35253361709076,DEBLENDED_AT_EDGE STATIONARY BINNED1 SUBTRACTED NOTCHECKED INTERP COSMIC_RAY CHILD EDGE ,1874696512345237504,0.02099576,5.926605e-06,0,GALAXY,,32.7572016095435
